Name,SIC,BVD,Industry
BW GLOBAL UNITED LPG INDIA PRIVATE LIMITED,4432.0,IN0015941793,"Transportation, Communications, Electric, Gas, and Sanitary Services"
C K FABRICS PRIVATE LIMITED,2257.0,IN0009289605,Manufacturing
CADILA PHARMACEUTICALS LIMITED,2834.0,IN0000220976,Manufacturing
CAKEZONE FOODTECH PRIVATE LIMITED,2021.0,IN0017124994,Manufacturing
CALLEIS INFRASTRUCTURE PRIVATE LIMITED,6531.0,IN0001885913,"Finance, Insurance, and Real Estate"
CALPRO SPECIALITIES PRIVATE LIMITED,7389.0,IN0001887186,Services
CALSOFT PRIVATE LIMITED,7371.0,IN0001887376,Services
CAMLIN FINE SCIENCES LTD,2899.0,IN33234FI,Manufacturing
CAMPUS ACTIVEWEAR LIMITED,3149.0,IN001202134IND,Manufacturing
CANPAC TRENDS PRIVATE LIMITED,6411.0,IN0001902346,"Finance, Insurance, and Real Estate"
CAPLIN POINT LABORATORIES LIMITED,2834.0,IN33239FI,Manufacturing
