,BVD,Name,SIC,Industry,RG
321,IN30940FI,SHANTHI GEARS LIMITED,3566.0,Manufacturing,0.319032721576903
25,IN0000244521,TATA FICOSA AUTOMOTIVE SYSTEMS PRIVATE LIMITED,3694.0,Manufacturing,0.31852097590831024
197,IN0009172236,P K P N SPINNING MILLS PRIVATE LIMITED,2281.0,Manufacturing,0.3184411164306488
235,IN0012056803,RAICAM AUTOMOTIVE PRIVATE LIMITED,3799.0,Manufacturing,0.31821255704268514
355,IN32964FI,JBM AUTO LTD,3711.0,Manufacturing,0.31753143557498803
271,IN0015644141,HL KLEMOVE INDIA PRIVATE LIMITED,3799.0,Manufacturing,0.3166250343455928
224,IN0011179751,MALABAR DIAMOND GALLERY PRIVATE LIMITED,5944.0,Retail Trade,0.3164181546370381
326,IN31340FI,APAR INDUSTRIES LIMITED,3531.0,Manufacturing,0.3147439884299395
160,IN0006646069,RIGHT TIGHT FASTNERS PRIVATE LIMITED,3451.0,Manufacturing,0.3143520382558834
379,IN34704FI,SAT INDUSTRIES LTD,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.3126563197093213
192,IN0008542519,PVH ARVIND FASHION PRIVATE LIMITED,5961.0,Retail Trade,0.31231974499218124
50,IN0000482124,ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,Services,0.3118470628831008
71,IN0001597831,HCL AVITAS PRIVATE LIMITED,8099.0,Services,0.31157656212232915
350,IN32321FI,KDDL LIMITED,3873.0,Manufacturing,0.3113636392111793
303,IN30031FI,BHARAT FORGE LIMITED,3463.0,Manufacturing,0.31082622821169775
116,IN0003799551,INDUCTIS (INDIA) PRIVATE LIMITED,7389.0,Services,0.3097869310458014
182,IN0008070427,KNORR-BREMSE TECHNOLOGY CENTER INDIA PRIVATE LIMITED,7375.0,Services,0.3097709719928727
245,IN0013004154,TOYOTA MATERIAL HANDLING INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.30833696726396936
351,IN32771FI,TILAKNAGAR INDUSTRIES LTD,5813.0,Retail Trade,0.3079145597830408
338,IN31564FI,PHILLIPS CARBON BLACK LIMITED,2819.0,Manufacturing,0.30575218641977825
107,IN0003128396,G D GOENKA UNIVERSITY,8221.0,Services,0.30522310548058434
134,IN0004946416,SHYAM SEL AND POWER LIMITED,3312.0,Manufacturing,0.30498682590547244
205,IN0010205782,ASKA EQUIPMENTS PRIVATE LIMITED (TRANSFERED FROM MAHARASHTRA),3545.0,Manufacturing,0.3027173989928598
196,IN0009044261,NELSON GLOBAL PRODUCTS INDIA PRIVATE LIMITED,3511.0,Manufacturing,0.3023362217092655
1,IN0000021455,TATA SONS PRIVATE LIMITED,5813.0,Retail Trade,0.3014498391330575
64,IN0001209746,ALF ENGINEERING PRIVATE LIMITED,3499.0,Manufacturing,0.3008475152819647
273,IN001576784IND,VILAS TRANSCORE LIMITED,3612.0,Manufacturing,0.3004705598855037
18,IN0000231454,SIMPLEX ENGINEERING & FOUNDRY WORKS PRIVATE LIMITED,3556.0,Manufacturing,0.30016227063043494
297,IN117304FI,VARUN BEVERAGES LIMITED,5182.0,Wholesale Trade,0.29950451424250796
279,IN0020486081,HAVMOR ICE CREAM PRIVATE LIMITED,2021.0,Manufacturing,0.298832883701257
346,IN32012FI,JAI BALAJI INDUSTRIES LIMITED,3462.0,Manufacturing,0.2987039656433579
176,IN0007832776,EBCO PRIVATE LIMITED,3559.0,Manufacturing,0.29813240461869567
53,IN0000570117,AIR INDIA SATS AIRPORT SERVICES PRIVATE LIMITED,7389.0,Services,0.2979703432587433
65,IN0001262622,AUMA INDIA PRIVATE LIMITED,7389.0,Services,0.2976105799219756
